              'n'           'px'                  'py'                  'pz'         'pm'         'I'

'E'           inf             1                     1                     1            0           0

'C6_0'        6               0                     0                     1            0           0

'C6_1'        6               0                     0                     1            1           0

'C3_0'        3               0                     0                     1            0           0

'C3_1'        3               0                     0                     1            1           0

'C2'          2               0                     0                     1            0           0

'C21p'        2               0                     1                     0            0           0     

'C22p'        2               0.866025403784439     0.5                   0            0           0 

'C23p'        2               0.866025403784439     -0.5                  0            0           0 

'C21pp'       2               1                     0                     0            0           0 

'C22pp'       2               0.5                   -0.866025403784439    0            0           0 

'C22pp'       2               -0.5                  -0.866025403784439    0            0           0 
